Gene,EOL-1,HEL,Molm-13,MonoMac1,MV4;11,NB-4,OCI-AML2,OCI-AML3,OCI-AML5,P31-FUJ,PL-21,SKM-1,TF-1,THP-1
SEBOX,-1.151,-0.246,-0.135,0.102,-0.497,-0.803,0.038,-0.385,-0.508,-0.186,-0.715,-0.29,-0.485,-0.054
SEC23IP,0.157,-0.624,-0.605,0.534,-0.166,-0.811,-0.486,-0.434,-0.457,-0.466,-0.724,-0.234,-0.416,0.19
SEC24C,0.247,-0.257,-0.279,-0.022,-0.179,-0.913,-0.159,-0.167,-0.204,-0.024,-0.303,0.144,-1.207,0.141
SELV,-1.109,-0.296,-0.353,-0.672,-0.494,-0.078,-0.136,0.175,-0.808,-0.493,-0.435,-0.534,-0.198,-0.186
SEMA4C,-1.126,-0.21,0.145,0.002,-0.738,-0.417,-0.326,-0.093,-0.011,-0.576,0.063,-0.121,-0.372,0.017
SEMA6C,-1.051,-0.375,-0.172,-0.295,-0.158,-0.322,-0.026,-0.371,-0.987,-0.253,-0.958,-0.422,-0.233,-0.124
SENP5,0.066,0.202,0.044,0.16,-0.148,-0.077,-0.276,-0.39,0.031,-0.141,-0.783,-0.109,-0.968,0.218
SENP8,-0.346,-0.139,-0.223,0.111,-0.169,0.176,0.289,0.014,0.888,-0.321,-0.743,0.28,-0.903,0.194
SEPN1,0.057,-0.334,-0.797,-0.285,-0.3,-0.361,-0.968,-0.066,-0.657,-0.517,-0.6,-0.486,-0.708,-1.156
SEPT8,0.057,-0.7,-0.172,-0.194,-0.486,-0.389,0.059,0.064,-0.428,-0.124,-0.744,-0.158,-1.1,-0.329
SERF2,-0.561,-0.745,-0.559,-0.343,-0.809,0.099,-0.028,0.236,-0.165,-0.088,-0.327,0.425,-0.523,0.002
SERP1,0.226,-0.319,-0.222,0.379,-0.751,0.144,-0.052,0.486,0.161,0.185,-0.362,-0.084,-0.175,0.104
SERPINA11,-0.261,-0.301,-1.169,-0.31,-0.243,-0.817,-0.178,0.075,-0.519,-0.502,0.01,-0.152,-0.414,-0.588
SERPINB9,0.086,0.34,-0.68,0.249,0.125,0.112,-0.3,0.391,0.153,-0.017,0.11,-0.367,-0.48,0.201
SERTAD2,-0.361,0.076,-0.764,-0.241,-0.176,-0.182,0.203,-0.192,0.128,-0.094,-0.968,-0.261,-0.332,-0.731
SESN2,0.017,-0.364,0.152,-0.061,-0.332,-0.486,-0.325,-0.224,0.137,-0.132,-1.139,0.056,-0.844,-0.428
SETD7,-0.946,-0.765,-0.994,-0.382,-0.548,0.172,-0.151,-0.462,-0.16,-0.216,-0.773,-0.446,-0.638,0.108
SETDB2,-0.557,-0.165,0.059,0.459,0.32,0.094,-0.199,0.341,-0.379,-0.434,-0.395,0.008,0.444,-0.16
SFMBT1,-0.808,-0.751,-0.861,-0.472,-0.792,-0.013,-0.449,-0.334,-1.293,-0.595,-0.231,-0.274,-0.552,-0.762
SFMBT2,-0.207,0.379,-0.05,-0.633,-0.489,-0.06,-0.782,-0.557,-0.314,-0.613,0.224,-0.242,-0.477,-0.068
SFRP4,-0.058,0.379,-0.516,-0.24,0.141,0.098,0.228,0.089,0.018,0.351,-0.887,-0.12,0.2,-0.228
SFXN1,-0.563,-0.937,-0.015,-0.392,-0.189,-0.459,0.095,-0.448,-0.318,-0.247,0.125,0.507,0.346,-0.269
SGCA,-0.03,-1.271,-0.31,-0.479,-0.331,-0.205,-0.18,-0.01,-0.723,-0.214,0.052,-0.638,-0.317,-0.53
SGK1,-0.246,-0.035,-0.4,-0.242,-0.056,-0.258,0.003,0.182,-0.177,-0.275,-0.731,0.085,-1.01,-0.508
SGMS1,-0.226,-0.256,-0.987,-1.516,0,-0.37,-0.343,-0.049,0.14,-0.349,-0.98,-0.607,0.053,-0.137
SGSH,0.046,-0.298,-0.49,-0.603,0.361,-0.151,-0.399,-0.069,-0.722,-0.09,-0.481,-0.209,-1.031,-0.165
SH2D4B,-0.21,-0.362,-0.286,-0.762,-0.291,-0.148,-0.209,0.29,-0.137,-0.204,0.068,-0.142,-0.907,0.244
SH3BP5L,-0.151,-0.62,-1.25,-0.558,-0.146,-0.147,-0.817,-0.064,-0.66,0.053,-0.816,-0.468,-0.146,-0.48
SH3GLB2,0.419,0.021,-0.222,-0.378,-0.649,0.167,-0.375,-0.242,-0.513,-0.035,-0.942,-0.213,-0.686,-0.267
SH3KBP1,0.072,-0.335,-0.788,0,-0.616,-0.078,0.125,-0.32,-0.024,-0.17,-0.896,-0.024,-1.354,0.043
SH3PXD2A,-0.124,-0.423,-0.493,0.055,-0.28,-0.469,0.055,0.139,-0.837,-0.193,-0.549,-0.384,-0.755,0.138
SH3RF3,-0.755,-0.076,-0.038,-0.25,0.145,-0.371,0.47,0.144,-0.335,0.141,-0.839,-0.245,-0.827,0.073
SHC2,-0.348,0.282,-0.459,-0.115,-0.495,0.331,-0.411,-0.01,-1.006,-0.156,-0.099,-0.259,-0.162,0.365
SHC3,-0.794,-0.254,-1.143,-0.229,-0.696,-0.133,-0.472,-0.217,-0.91,-0.57,0.051,-0.421,-0.425,-0.551
SHISA7,0.031,-0.409,-1.049,0.295,-0.689,-0.435,-0.34,0.142,-0.579,-0.267,-0.448,-0.181,-0.128,0.293
SHPK,0,-0.445,-0.852,0.266,-0.206,0.037,-0.361,0.157,-0.224,-0.474,-0.372,-0.49,-0.417,0.252
SIAE,-0.742,-0.742,-0.577,-0.065,-0.28,-0.078,-0.273,-0.048,-0.761,-0.07,0.301,-0.162,-0.581,-0.158
SIAH1,-0.311,0.017,-0.827,0.023,-1.238,-0.568,0.248,0.664,-0.062,-0.078,-0.475,-0.324,0.2,-0.594
SIAH2,0.172,-0.83,-0.358,0.004,-1.218,0.073,0.317,-0.016,-0.263,-0.234,0.02,-0.398,-0.254,-0.133
SIAH3,-0.83,-0.316,-0.983,-0.444,-0.422,-0.246,-0.631,-0.498,0.018,-1.191,-0.824,-0.639,-0.115,-0.8
SIL1,-0.031,-0.564,-0.013,0.128,0.01,-0.28,-0.071,0.539,-0.193,-0.144,-0.147,0.237,-0.925,-0.125
SIRPD,-0.208,0.437,-1.03,0.142,-0.063,-0.476,-0.429,0.569,-0.772,-0.138,-0.979,-0.087,-0.169,-0.655
SIX2,0.173,0.233,-0.311,0.504,0.208,0.267,0.225,-0.157,0.147,0.098,-0.568,-0.013,-0.755,0.024
SLAIN2,-0.597,-0.191,-0.416,-0.447,0.16,0.444,-0.175,-0.21,0.003,-0.058,-0.831,-0.035,-0.841,-0.098
SLC12A2,-0.177,0.084,-0.063,-0.391,0.098,-0.674,0.202,-0.648,-0.045,-0.111,-0.163,-0.14,-1.127,-0.173
SLC13A4,-0.836,-0.36,-1.372,-0.344,-0.025,-0.815,-0.237,-0.306,-0.7,-0.435,-0.685,-0.172,-0.635,-0.43
SLC15A3,-0.808,-0.414,-0.419,-0.058,-0.233,0.303,-0.088,-0.966,-0.434,-0.083,-0.047,-0.531,-0.87,-0.01
SLC16A10,0.288,-0.157,-0.399,-0.153,0.078,-0.58,-0.609,-0.796,-0.595,-0.504,-0.702,-0.177,-0.916,-0.693
SLC16A13,0.269,-0.727,-0.287,0.243,0.255,0.025,-0.171,-0.136,-0.018,-0.017,-0.155,0.281,-0.826,-0.46
SLC17A3,0.163,0.242,-0.185,0.215,-0.86,0.309,-0.294,-0.375,0.166,-0.231,0.017,0.403,-0.184,0.162
SLC1A7,-0.62,-0.254,-0.375,-0.137,0.057,-0.531,-0.071,0.081,-0.143,0.05,-0.906,-0.08,-1.263,-0.289
SLC22A11,0.072,-0.416,0.034,-0.452,-0.405,-0.731,-0.149,0.243,-0.501,-0.088,-0.583,0.005,0.302,-0.018
SLC22A14,-0.116,-0.101,-0.5,0.46,-0.59,-0.517,-0.579,-0.08,-0.872,-0.518,-0.833,-0.491,-0.819,-0.591
SLC22A23,-0.781,-0.163,-0.008,-0.221,-0.551,0.222,0.001,-0.495,-0.147,-0.252,-1.132,0.116,-0.532,-0.224
SLC23A3,-0.857,-0.511,-0.432,-0.261,-0.914,-0.357,-0.778,-0.504,-1.563,-0.89,-0.881,-0.747,-0.947,-0.413
SLC25A28,-1.502,0.215,0.684,0.175,0.061,0.514,-0.554,-0.126,0.046,-0.528,-0.247,-0.08,-0.986,0.054
SLC25A37,-0.354,-0.124,1.048,-0.083,-0.054,0.605,-0.079,-0.152,-0.582,-0.033,-0.051,-0.058,-0.071,0.315
SLC25A41,-0.603,-0.409,-0.997,-0.277,-0.715,0.188,-0.334,-0.017,-0.642,-0.156,-0.801,-0.518,-0.2,-0.255
SLC25A46,-0.208,-0.33,-0.206,-0.609,-0.087,0.123,-0.685,-0.382,-0.21,-0.658,-0.323,-0.1,-0.146,-1.426
SLC25A6,-0.188,-0.365,0.036,-0.364,-0.343,0.283,0.141,0.299,-0.431,-0.098,-0.231,-0.065,-0.937,0.007
SLC26A6,-0.588,-0.688,-0.223,-0.137,-0.192,-0.39,-0.123,0.164,-0.486,-0.011,-0.522,-0.113,-1.028,0.17
SLC27A1,-0.477,0.115,-0.382,-0.281,-0.722,-0.356,-0.341,0.009,-1.15,-0.18,-0.118,-0.347,-0.489,0.067
SLC29A2,-0.556,-0.105,-0.435,-0.188,-0.439,-0.63,-0.242,-0.551,-0.519,-0.088,0.023,0.014,-1.4,-0.146
SLC2A4,0.048,-0.384,0.203,0.043,0.264,-0.174,-0.745,-0.105,-0.37,-0.212,-0.43,0.015,-0.848,-0.571
SLC2A4RG,-0.616,-0.394,-1.152,0.11,-0.332,-0.289,-0.267,0.257,-0.577,-0.17,-0.206,-0.029,-0.721,0.016
SLC30A1,-0.12,-0.492,-0.743,-0.546,0.505,-0.306,0.26,-0.177,0.328,0.125,0.243,-0.128,0.361,0.158
SLC30A10,0.295,-0.21,-0.358,-0.378,-0.031,-0.009,-0.67,-0.432,-0.922,-0.049,-0.485,-0.164,-0.602,-0.719
SLC30A3,0.097,0.047,-0.478,-0.248,-0.249,-0.059,-0.585,-0.567,-1.118,-0.459,-0.037,-0.523,-0.271,-0.164
SLC33A1,-0.516,0.215,0.578,-0.253,-0.106,0.139,-0.089,-0.177,0.444,-0.838,-0.683,-1.35,0.156,-0.589
SLC35A1,-0.446,-0.575,-0.925,0.185,-0.148,-0.636,-0.48,-0.151,0.459,0.243,-0.036,0.339,-0.328,0.111
SLC35B2,0.019,-0.031,-0.576,-0.045,-0.133,0.279,-0.259,-0.59,-0.07,-0.242,-0.431,-0.404,-1.036,-0.293
SLC35B4,0.011,0.03,-0.086,-0.681,0.066,0.174,0.064,-0.675,0.222,-0.171,-0.97,-0.307,-0.19,-0.002
SLC35D3,-0.201,-0.108,-0.582,-0.162,0.272,-0.076,0.052,-0.144,-0.638,0.24,0.647,-0.094,-0.24,0.009
SLC35E1,-0.734,-0.303,-0.904,-0.474,-0.819,-0.407,-0.465,-0.416,-0.844,-0.09,-0.628,-0.564,-1.707,0.215
SLC35E3,-0.482,-0.868,-1.212,0.008,-0.535,-0.32,-0.639,-0.252,0.068,-0.027,-0.768,0.004,-0.924,-0.883
SLC35G5,-0.025,0.224,-0.992,0.019,-0.671,0.074,-0.376,-0.345,-0.481,-0.184,-0.036,-0.132,0.25,-0.049
SLC35G6,-0.277,-0.206,-0.517,-0.28,-1.222,-0.514,-0.248,-0.221,-0.565,-0.644,-0.462,0.115,-0.039,-0.686
SLC38A4,-0.034,-0.286,-0.159,-0.142,0.078,0.295,-0.029,0.208,-0.186,0.101,-0.148,-0.243,-1.107,-0.787
SLC38A9,-0.447,-0.145,-0.299,0.184,-0.31,0.184,0.259,-0.719,0.324,-0.51,-0.397,-0.43,-0.036,-0.292
SLC39A10,0.108,0.546,0.61,0.288,0.245,0.478,-0.03,0.109,-0.043,-0.443,-0.223,0.165,-1.138,-0.222
SLC44A4,-0.088,-0.185,-1.451,-0.579,-0.625,0.033,-0.555,-0.311,-0.363,0.139,-0.566,-0.386,-0.931,-0.313
SLC45A1,0.373,0.045,-0.191,-0.005,-0.182,-0.223,0.385,0.121,0.103,0.198,-0.647,-0.375,-0.444,-0.568
SLC45A4,-0.694,-0.307,-1.427,-0.465,-0.724,-0.12,-0.694,-0.208,-0.707,-0.162,-0.203,-0.653,-0.81,-0.18
SLC52A1,-0.878,-0.621,-0.816,-0.181,-0.929,-0.575,-0.688,-0.072,-1.33,-0.148,-0.496,-0.703,-0.563,-0.786
SLC6A4,-0.173,-0.113,0.419,-0.193,0.135,-0.434,-0.125,0.154,-0.908,-0.245,-0.494,-0.316,0.191,-0.579
SLC6A7,-0.444,-0.315,-1.021,-0.144,-0.297,-0.217,-0.608,0.334,-0.858,-0.499,-0.129,-0.451,-0.383,-0.677
SLC7A8,0.24,-0.145,-0.684,-0.128,-0.031,-0.785,-0.033,-0.342,-0.015,-0.031,0.143,0.136,-0.642,0.045
SLC7A9,-0.329,-0.035,-0.645,-0.402,-0.641,0.388,-0.124,-0.379,-0.497,-0.023,-0.204,-0.353,-0.86,0.198
SLC9A3,-0.859,-0.487,-0.531,-0.018,-0.618,-0.397,-0.667,-0.518,-0.632,-0.798,-0.421,-0.423,-1.579,0.099
SLC9A8,0.224,-0.138,-0.04,-0.173,0.174,-0.093,0.139,0.097,-0.039,-0.534,-0.826,0.071,-0.806,-0.349
SLIRP,-1.009,-0.557,0.184,-0.597,-0.26,-0.238,-0.304,-0.604,-0.043,-0.242,-0.802,-0.086,-0.024,-0.445
SLIT1,0.158,-0.19,-0.491,-0.492,0.068,-1.026,0.205,-0.413,-0.501,-0.029,-0.383,-0.416,-0.303,-0.237
SLIT3,-0.04,0.27,-0.837,0.191,-0.096,-0.028,0.205,0.278,0.067,0.17,-0.712,0.251,0.161,0.158
SLMAP,-0.689,0.106,0.062,-0.32,-0.043,-0.462,-0.252,-0.063,0.037,-0.08,-0.717,-0.718,-0.027,-0.687
SLURP1,-0.52,0.176,-1.095,-0.005,-0.142,-0.308,-0.102,0.015,-0.574,0.202,-0.923,-0.189,0.176,-0.207
SMAD4,0.685,-0.191,0.299,0.057,0.034,0.182,0.018,-0.363,-0.512,0.014,-0.43,-0.298,-0.259,0.444
SMAD7,-0.209,0.129,0.216,-0.326,-0.236,0.168,-0.111,0.161,0.011,0.12,-0.241,0.709,0.37,-1.023
SMARCA2,-0.523,-1.5,-0.425,-0.115,-0.019,-0.039,-0.128,-0.176,-0.815,-0.118,-0.616,-0.368,-0.497,-0.559
SMARCC2,-0.914,-0.639,0.306,-0.322,-0.451,-0.601,0.235,0.232,0.015,-0.425,-0.352,0.131,0.359,0.432
SMCHD1,0.668,0.075,-0.049,-0.468,0.166,0.165,0.141,0.167,0.417,-1.264,0.393,0.093,-0.631,0.096
SMCO4,-0.385,-0.173,0.026,-0.095,-0.683,-0.414,-0.322,-0.718,-0.121,-0.488,0.333,0.04,-0.749,-0.596
SMEK1,-0.344,-0.955,-0.167,-0.036,0.342,-0.068,0.114,-0.899,0.409,-0.007,-0.585,-0.276,-0.595,-0.164
SMURF1,0.295,0.277,-0.2,-1.151,-0.618,-0.181,0.034,-0.202,-0.397,-0.455,-0.06,-0.38,-0.866,-0.168
SNAI1,-0.203,-0.546,0.13,0.234,0.091,-0.121,0,0.337,-0.392,-0.589,-0.33,-0.468,-0.851,0.259
SND1,0.228,-0.127,-0.378,-0.105,-0.52,0.034,-0.191,-0.077,-0.312,0.428,-0.792,-0.681,-0.516,0.053
SNTB1,-0.676,-0.221,-1.254,0.104,-0.407,0.135,-0.541,0.154,-0.427,-0.305,-0.158,-0.315,-0.581,-0.326
SNX10,-0.047,0.016,0.025,0.22,0.099,-0.579,0.369,0.264,0.441,0.382,-0.541,-0.267,0.51,0.359
SNX6,0.279,-0.113,0.133,-0.141,0.15,-0.541,-0.284,-0.706,-0.309,-0.642,-0.286,0.688,0.148,-0.635
SOHLH1,-0.602,-0.649,-0.555,0.174,-0.417,-0.313,-0.307,-0.525,-0.401,-0.987,-0.087,-0.622,-1.146,-0.011
SORBS3,-0.406,0.231,-0.998,-0.536,-0.967,0.019,-0.785,0.022,-0.626,-0.325,-0.296,-0.397,-0.191,-0.212
SOST,-0.227,0.077,-0.664,-0.188,-0.13,0.122,0.321,0.105,0.363,-0.318,-0.731,-0.039,0.346,-0.301
SOX9,0.036,-0.875,-0.87,0.283,-0.542,-0.283,-0.513,-0.454,-0.567,-0.634,-0.898,-0.818,-0.712,-0.349
SP110,-1.184,0.258,-0.399,-0.606,-0.089,0.059,0.003,0.295,-0.693,0.213,-0.827,-0.17,-0.155,-0.075
SP140L,1.263,0.269,0.232,0.479,0.085,-0.242,0.486,0.371,0.032,0.043,0.329,0.281,-0.217,0.099
SP5,0.211,0.079,-0.65,-0.27,0.157,0.021,0.279,-0.822,-0.248,-0.44,-0.741,-0.115,-1.168,-0.261
SPAG1,0.205,0.372,-0.833,0.32,-0.194,0.289,0.085,0.236,0.053,0.208,-0.325,-0.08,0.142,-0.524
SPATA21,-0.443,-0.664,-1.331,-0.353,-0.435,-0.083,-0.548,-0.249,-0.898,-0.554,-0.667,-0.4,-0.833,-0.993
SPATC1L,-0.088,-0.737,-0.412,-0.808,-0.24,-0.378,-0.304,-0.456,-1.009,-0.134,-0.33,-0.086,0.053,-0.842
SPDYC,-0.489,-0.19,0.168,-0.072,-0.805,-0.038,-0.282,-0.71,-0.372,-0.058,0.151,-0.676,0.154,-0.179
SPIB,-0.524,0.24,-0.945,-0.272,-0.73,-0.273,-0.137,-0.081,-1.083,-0.662,-0.061,-0.262,0.446,0.036
SPICE1,-0.234,-0.909,0.136,-0.056,-0.156,0.052,-0.176,0.225,0.207,0.01,0.199,-1.036,-0.455,0.142
SPINK4,0.078,-0.272,0.487,0.653,-0.033,-0.057,0.071,0.087,0.159,-0.034,-0.729,-0.241,-0.207,0.095
SPN,-0.494,-0.394,-0.416,0.257,-0.572,-0.329,-0.379,-0.227,-0.149,-0.024,-0.79,-0.792,-1.152,0.756
SPPL3,0.013,-0.174,-1.423,-0.359,0.031,-0.296,-0.534,-0.4,-0.042,-0.228,-0.178,0.275,0.267,0.483
SPRED2,0.256,0.18,-0.553,1.145,0.683,-0.121,-0.246,0.212,0.384,0.466,0.565,1.503,0.564,1.346
SPRN,-0.722,0.309,-0.035,0.021,0.182,0.194,-0.55,-0.626,-0.669,0.381,-0.46,-0.164,-0.534,0.116
SPRR2G,-0.164,-0.581,0.333,-0.181,-0.205,-0.341,0.431,-0.424,-0.685,-0.378,-0.145,0.034,-0.145,-0.67
SPSB3,-0.089,-0.12,-0.298,-0.517,-0.999,-0.224,-0.257,-0.697,-0.493,-0.889,0.167,-0.591,-0.179,-0.357
SPTBN4,0.332,-0.445,-0.534,-0.031,-0.083,0.145,-0.123,0.386,-0.212,-0.307,0.01,-0.402,-0.675,0.301
SQLE,-0.163,0.338,-0.762,-0.213,0.019,0.515,-0.083,0.276,-0.018,0.004,-0.605,-0.114,-0.405,0.135
SRGAP2,0.273,-0.574,0.266,-0.693,-0.045,0.143,-0.915,0.417,0.041,0.188,0.226,0.522,0.296,0.196
SRM,0.031,-0.877,-0.731,0.016,-0.268,-1.427,0.052,-0.589,-0.472,-0.526,-0.545,0.283,-0.564,-0.213
SRPK2,-0.118,-0.22,-0.986,-0.07,-0.384,-0.08,-0.485,0.156,0.201,-0.431,0.066,0.384,-0.308,-0.177
SRSF4,0.06,-1.114,-0.634,0.064,-0.695,-0.468,-0.003,-0.465,-0.314,-0.056,-0.162,-0.368,-0.119,-0.31
SRSF8,-0.765,-0.536,-0.229,-0.439,-0.602,-0.909,-0.245,-0.722,-0.16,-0.637,-0.631,-0.05,-1.392,-0.838
SSB,-0.479,-0.639,-0.362,-0.37,0.095,0.124,-0.135,-0.558,0.214,-0.456,-0.122,-0.097,-0.749,-1.034
SSFA2,0.074,-0.114,-0.413,-0.042,0.179,0.092,0.188,-0.182,0.171,0.166,0.509,0.355,-1.009,-0.23
SSNA1,-0.443,-0.054,0.158,-0.302,-0.615,-0.179,-0.298,-0.385,-0.303,-0.166,0.157,0.153,0.648,-0.127
SSPN,-0.041,0.144,0.06,0.018,0.004,-0.812,0.237,0.234,0.058,-0.054,-0.037,0.271,0.487,-0.866
SSR2,0.101,-0.586,0.151,0.331,-0.508,-0.353,0.067,-0.05,0.041,0.219,-0.989,-0.715,-0.016,-0.061
ST14,-0.34,-1.161,-0.547,-0.336,-0.205,-0.088,-0.342,-0.35,-0.45,-0.198,-0.412,0.294,-0.307,-0.016
ST3GAL3,0.098,0.072,0.112,-0.282,0.304,0.332,0.016,0.184,0.462,0.256,-0.393,0.359,-0.54,-0.433
ST6GALNAC3,-0.035,0.493,-0.454,0.043,0.006,0.019,0.428,0.154,0.191,0.126,-0.838,-0.185,0.237,0.077
ST6GALNAC5,-0.194,-0.76,0.288,0.254,0.451,0.213,0.2,-0.303,-0.047,0.229,-0.343,0.216,0.162,0.099
ST8SIA1,-0.486,-0.574,0.111,-0.111,-0.016,-0.511,-0.149,-0.256,-0.006,-0.009,-0.383,-0.605,-0.793,-1.097
STAM2,-0.389,0.031,0.011,-0.42,0.106,-0.025,0.182,0.391,-0.2,0.325,-0.89,-0.095,-0.381,-0.555
STAP2,-0.46,-0.127,-0.692,-0.357,-0.739,0.018,-0.357,-0.141,-0.741,-0.235,0.159,-0.696,0.116,0.082
STK10,0.132,-0.507,-0.084,-0.064,-0.341,0.547,-0.009,0.167,0.33,-0.333,0.389,0.695,0.334,-0.031
STK25,-0.208,-0.232,-0.462,-0.211,0.106,-0.435,-0.113,-0.037,-0.357,0.22,-0.303,0.771,0.218,-0.057
STK35,-1.011,-0.075,-0.038,-0.141,-0.962,-0.621,-0.287,-0.458,-0.247,-0.146,-0.157,0.116,-0.035,0.239
STK40,-0.154,-0.005,-0.389,0.171,-0.124,0.186,0.117,0.525,-0.066,-0.184,-0.933,-0.299,0.407,0.105
STMND1,-0.125,0.128,-0.244,-0.1,0.137,-0.681,-0.145,-0.603,-0.208,-0.473,-0.637,-0.087,-1.237,-0.235
STOML2,-1.23,-0.355,0.763,-0.32,-0.21,-0.154,-0.273,0.033,-0.233,0.12,0,0.089,-0.548,-0.113
STRA6,0.383,0.173,0.039,0.192,-0.667,-0.078,0.04,-0.697,0.173,-0.154,-0.099,-0.246,-0.42,0.03
STRA8,-0.385,-0.113,0.241,-0.058,-0.065,-0.125,0.098,0.101,0.105,-0.122,-0.404,-0.035,-1.062,0.617
STX10,-0.249,0.057,-1.298,0.134,-0.3,0.25,-0.252,-0.389,-0.577,0.067,-0.498,-0.033,-0.238,0.201
STX1B,-0.156,-0.113,-0.397,-0.19,0.151,-0.243,-0.267,-0.97,-0.07,0.089,-0.239,-0.623,0.408,0.024
STXBP1,-0.785,-0.254,-1.235,0.108,-0.041,-0.507,-0.336,-0.92,-0.908,-0.584,-0.731,-0.025,-0.745,-0.029
SUCLA2,-0.855,-0.079,-0.619,0.021,-0.34,0.097,-0.464,-0.786,0.138,-0.369,-1.125,-0.066,-0.161,-0.105
SUCNR1,0.001,-0.796,-0.032,-0.027,-0.156,-0.083,-0.115,-0.022,0.187,-0.518,-0.871,-0.487,-0.576,0.23
SUCO,-0.046,-0.344,-0.132,0.155,0.23,0.272,-0.482,-0.394,-0.352,-0.448,-0.613,-0.331,-1.035,-0.683
SUGP2,-0.651,0.226,-0.693,0.13,-0.687,-0.485,-0.72,-0.13,-0.754,0.128,-0.638,0.122,-0.54,-0.094
SULT4A1,0.137,-0.164,-0.995,-0.771,-0.606,-0.004,-0.065,0.042,-0.278,0.119,-0.408,-0.55,-0.426,-0.284
SURF1,-0.956,-0.481,0.015,-0.759,-0.613,0.025,-0.412,0.191,-0.526,-0.67,0.334,-0.002,-0.359,-0.825
SURF4,-0.415,0.31,0.504,-0.383,0.01,0.441,0.145,-0.07,0.041,-0.404,-0.765,-0.434,-0.955,0.117
SUV420H1,-0.518,-0.365,-0.589,-0.454,-0.921,0.08,0.09,-0.183,0.5,-0.156,-0.011,-0.314,-0.573,-0.546
SUV420H2,-0.592,0.094,-0.318,-0.095,-0.232,0.131,-0.428,-0.566,0.155,-0.169,0.204,0.509,-0.101,-0.552
SWI5,-0.309,-0.216,-0.68,-0.075,-0.51,0.113,-0.473,-0.133,-0.77,-0.104,-0.22,-0.351,-1.182,0.112
SYCE2,-0.481,-0.277,-0.24,-0.157,-0.557,-0.203,-0.159,0.151,-0.768,-0.02,-0.272,-0.138,-1.116,-0.007
SYDE2,-0.079,-0.269,-0.586,-0.168,0.107,-0.173,0.233,0.021,0.324,0.173,0.352,0.138,-0.848,-0.018
SYNPO2,-0.472,0.042,0.141,-0.104,0.185,0.169,0.102,0.377,0.108,-0.039,-0.758,0.074,-0.729,0.187
SYPL2,0.084,-0.485,-0.378,-0.202,-0.337,-0.614,-0.084,-0.616,-0.935,-0.962,-0.982,-0.161,-0.935,-0.608
SYT12,-0.81,-0.433,-0.385,-0.398,-0.255,-0.393,-0.089,0.143,-0.183,-0.325,-0.043,-0.276,-1.196,0.168
SZRD1,-0.566,-0.712,0.008,0.111,0.095,-0.047,-0.086,-0.33,-0.888,-0.121,-0.551,-1.13,-0.419,0.152
TAB1,-0.854,-0.101,-0.299,-0.544,-0.077,-0.088,-0.296,0.029,-0.483,-0.531,-0.338,-0.208,-1.138,-0.358
TAGLN,-0.858,-0.812,-0.794,-0.236,-0.637,0.02,-0.704,-0.373,-0.992,-0.709,-0.78,-0.371,-0.955,0.017
TAL2,-0.235,0.318,-0.733,0.003,-0.397,0.008,0.157,-0.43,0.098,-0.294,-0.588,-0.008,-0.055,-0.67
TALDO1,-0.857,-0.173,-0.215,-1.629,-0.806,-0.751,-0.239,-0.227,-0.468,-0.4,-0.554,-0.05,-0.681,-0.43
TANK,-0.114,-0.433,-0.02,-0.306,-0.77,-0.555,0.012,-0.489,-0.429,-0.304,-0.176,-0.032,-1.134,0.301
TAOK3,0.139,-0.164,-0.065,0.071,0.08,-0.36,0.253,-0.553,0.567,0.082,-0.587,0.752,0.064,-0.123
TAP2,0.044,-0.097,-0.366,0.384,-0.253,0.028,-0.454,-0.225,-0.387,0.267,-0.568,-0.516,-0.882,-0.217
TAPBP,-0.401,-0.314,-0.295,-0.66,-0.453,-0.132,-0.045,0.171,-0.208,0.075,-1.089,-0.251,-0.833,-0.281
TARBP1,0.124,-0.202,-0.71,-0.463,-0.914,-0.101,-0.901,-0.645,-0.41,0.081,-0.432,-0.533,-1.326,-0.2
TARP,0.21,0.122,1.103,-0.133,0.122,0.152,0.211,0.438,0.113,0.455,0.045,0.048,0.575,0.65
TAS2R30,-0.251,-0.753,-0.955,0.235,-0.319,-0.117,-0.453,-0.565,-0.371,0.053,-1.11,-0.025,-0.321,0.152
TAS2R41,-0.055,-0.575,0.379,-0.076,0.116,-0.101,0.318,-0.186,-0.268,0.239,-0.091,-0.046,-0.884,-0.263
TASP1,0.336,0.178,-0.054,-0.499,-0.44,-0.068,-0.243,-0.453,-0.167,-0.214,-0.627,0.078,-1.343,-0.107
TBC1D10A,-0.141,-0.444,-1.232,-0.169,-0.862,-0.338,-0.766,-0.057,-0.152,-0.869,0.002,-0.391,-0.708,-0.447
TBC1D10B,-0.553,0.033,-0.315,-0.184,0.033,0.005,-0.11,-0.438,-1.114,-0.581,0.124,0.132,-0.297,-0.175
TBC1D14,-0.273,-0.084,-0.578,-0.071,-0.198,-0.083,-0.079,-0.556,-0.376,0.107,-0.106,-0.21,0.634,0.543
TBC1D20,0.155,-0.674,-0.973,-0.617,-0.222,-0.019,-0.444,0.027,-0.104,0.137,-0.153,-0.365,-1.899,-0.909
TBC1D22B,-0.476,0.115,-0.619,-0.237,-0.384,0.005,-0.664,0.375,0.004,-0.166,-1.102,0.147,-0.679,-0.5
